State,County,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny theft,Motorvehicletheft,Arson
KENTUCKY ,Lee,0,0,0,0,0,2,1,1,0,0
KENTUCKY ,Leslie,3,0,0,0,3,2,0,2,0,0
KENTUCKY ,Letcher,0,0,0,0,0,19,8,8,3,0
KENTUCKY ,Lewis,2,0,0,0,2,16,4,7,5,0
KENTUCKY ,Lincoln,4,0,1,3,0,77,24,30,23,0
KENTUCKY ,Livingston,5,0,0,1,4,66,24,34,8,2
KENTUCKY ,Logan,15,0,5,1,9,151,71,68,12,0
KENTUCKY ,Lyon,0,0,0,0,0,32,14,15,3,0
KENTUCKY ,Madison,10,0,3,1,6,341,123,193,25,2
KENTUCKY ,Magoffin,1,0,0,0,1,6,3,1,2,1
KENTUCKY ,Marion,2,0,0,0,2,68,22,35,11,0
KENTUCKY ,Marshall,28,1,8,5,14,181,72,90,19,4
KENTUCKY ,Martin,3,0,0,0,3,15,5,8,2,0
KENTUCKY ,Mason,11,0,3,4,4,85,31,48,6,0
KENTUCKY ,McCracken,43,1,19,4,19,499,155,286,58,0
KENTUCKY ,McCreary,4,0,0,1,3,37,7,22,8,0
KENTUCKY ,Menifee,4,1,2,0,1,28,15,9,4,0
KENTUCKY ,Mercer,3,0,1,0,2,26,8,12,6,0
KENTUCKY ,Metcalfe,4,0,0,1,3,58,30,19,9,1
KENTUCKY ,Monroe,0,0,0,0,0,9,5,3,1,0
KENTUCKY ,Montgomery,14,0,2,2,10,273,98,155,20,0
KENTUCKY ,Morgan,0,0,0,0,0,19,5,8,6,0
KENTUCKY ,Muhlenberg,11,0,3,0,8,95,56,23,16,1
KENTUCKY ,Nelson,18,1,4,1,12,217,66,130,21,0
KENTUCKY ,Nicholas,0,0,0,0,0,5,3,2,0,0
KENTUCKY ,Ohio,10,0,1,3,6,94,35,46,13,0
KENTUCKY ,Owen,3,0,1,0,2,50,26,21,3,0
KENTUCKY ,Owsley,0,0,0,0,0,5,5,0,0,0
KENTUCKY ,Perry,3,0,0,0,3,21,4,11,6,0
KENTUCKY ,Pike,3,0,0,1,2,91,17,72,2,0
KENTUCKY ,Powell,0,0,0,0,0,24,9,11,4,0
KENTUCKY ,Pulaski,34,1,9,4,20,373,163,158,52,1
KENTUCKY ,Robertson,0,0,0,0,0,1,0,1,0,0
KENTUCKY ,Rockcastle,4,0,0,1,3,45,20,16,9,1
KENTUCKY ,Rowan,3,0,0,0,3,120,30,80,10,0
KENTUCKY ,Russell,3,0,2,0,1,28,12,9,7,0
KENTUCKY ,Simpson,12,0,0,1,11,39,20,14,5,0
KENTUCKY ,Taylor,7,0,2,1,4,162,68,81,13,1
KENTUCKY ,Todd,2,0,0,0,2,46,20,20,6,0
KENTUCKY ,Union,4,0,1,1,2,55,29,17,9,1
KENTUCKY ,Washington,4,0,1,0,3,31,15,13,3,0
KENTUCKY ,Wayne,1,0,1,0,0,32,14,14,4,1
KENTUCKY ,Webster,1,0,0,0,1,27,10,8,9,0
KENTUCKY ,Whitley,12,3,0,1,8,115,55,46,14,0
KENTUCKY ,Wolfe,0,0,0,0,0,13,4,8,1,0
LOUISIANA,Acadia5,101,0,4,22,75,,415,327,,0
LOUISIANA,Ascension,311,5,11,38,257,"3,014",615,"2,208",191,11
LOUISIANA,Bossier,67,1,5,4,57,646,167,434,45,2
LOUISIANA,Caddo,67,1,3,5,58,810,225,527,58,1
LOUISIANA,Calcasieu,465,8,45,43,369,"4,387","1,254","2,892",241,11
LOUISIANA,Cameron,20,2,1,0,17,148,17,126,5,0
LOUISIANA,De Soto,53,1,5,4,43,340,82,237,21,0
LOUISIANA,East Baton Rouge,493,14,45,209,225,"8,113","1,175","6,557",381,10
LOUISIANA,East Feliciana,97,0,8,2,87,171,39,107,25,0
LOUISIANA,Iberville,257,1,4,13,239,534,109,419,6,0
LOUISIANA,Jefferson,"1,535",31,92,380,"1,032","9,937","1,358","7,908",671,64
LOUISIANA,Lafayette,304,4,31,28,241,"1,441",345,967,129,9
LOUISIANA,Lafourche,200,5,31,9,155,"1,720",391,"1,247",82,7
LOUISIANA,Livingston,332,13,28,11,280,"3,443",975,"2,441",27,1
LOUISIANA,Ouachita,393,4,24,41,324,"2,803","1,061","1,564",178,13
LOUISIANA,Plaquemines,45,0,5,3,37,279,62,203,14,1
LOUISIANA,Pointe Coupee,85,0,5,6,74,285,96,173,16,0
LOUISIANA,Rapides,199,2,9,11,177,"1,517",457,970,90,5
LOUISIANA,St. Bernard,146,2,9,43,92,"1,409",246,"1,068",95,10
LOUISIANA,St. Charles,181,4,3,38,136,961,217,684,60,5
LOUISIANA,St. Helena,66,4,3,4,55,135,38,83,14,0
LOUISIANA,St. James,33,1,3,2,27,334,103,195,36,0
LOUISIANA,St. John the Baptist,90,2,2,21,65,978,219,708,51,3
LOUISIANA,St. Martin,154,3,23,24,104,677,106,553,18,0
LOUISIANA,St. Tammany,247,12,29,17,189,"1,795",412,"1,264",119,9
LOUISIANA,Tangipahoa,739,9,51,136,543,"2,758",819,"1,676",263,11
LOUISIANA,Terrebonne,298,2,13,27,256,"2,164",346,"1,725",93,6
LOUISIANA,Union,34,0,2,0,32,31,13,18,0,0
LOUISIANA,Vermilion,77,0,0,18,59,815,287,292,236,0
LOUISIANA,Webster,48,1,4,2,41,200,96,84,20,0
LOUISIANA,West Baton Rouge,60,1,5,5,49,483,49,393,41,0
LOUISIANA,West Feliciana,41,2,7,3,29,78,12,57,9,0
LOUISIANA,Allen,15,0,7,0,8,84,7,65,12,0
LOUISIANA,Assumption,60,1,5,2,52,246,49,191,6,0
LOUISIANA,Avoyelles,206,0,8,3,195,440,137,276,27,3
LOUISIANA,Beauregard,17,0,4,0,13,100,8,63,29,4
LOUISIANA,Bienville,49,1,1,5,42,213,72,129,12,0
LOUISIANA,Caldwell,24,1,0,0,23,226,56,159,11,0
LOUISIANA,Catahoula,36,0,3,0,33,96,30,63,3,0
LOUISIANA,Claiborne,14,0,0,0,14,106,31,69,6,0
LOUISIANA,Concordia,56,0,2,3,51,241,80,148,13,0
LOUISIANA,Evangeline,54,0,3,2,49,480,112,326,42,0
LOUISIANA,Franklin,63,0,0,5,58,142,35,96,11,0
LOUISIANA,Jackson,2,1,0,1,0,50,16,33,1,0
LOUISIANA,La Salle,37,1,0,3,33,61,14,35,12,1
LOUISIANA,Lincoln,59,5,4,2,48,268,58,204,6,0
LOUISIANA,Madison,28,1,2,0,25,45,18,21,6,0
LOUISIANA,Morehouse,43,0,3,3,37,255,40,207,8,1
LOUISIANA,Natchitoches,48,0,0,1,47,391,95,262,34,0
LOUISIANA,Red River,15,0,2,2,11,153,47,97,9,0
LOUISIANA,Richland3,42,2,1,0,39,,,,7,0
LOUISIANA,Sabine,13,1,1,1,10,168,4,164,0,0
LOUISIANA,St. Landry,170,0,8,21,141,942,431,408,103,0
LOUISIANA,St. Mary,128,2,10,12,104,763,216,493,54,4
LOUISIANA,Tensas,13,0,2,0,11,30,6,23,1,0
LOUISIANA,Vernon,58,2,8,3,45,526,89,380,57,3
LOUISIANA,Washington,184,0,15,8,161,582,160,362,60,0
LOUISIANA,West Carroll,24,0,0,0,24,100,39,49,12,1
LOUISIANA,Winn,42,0,1,0,41,56,19,24,13,0
MAINE,Androscoggin,12,0,8,2,2,135,32,95,8,1
MAINE,Cumberland,23,0,3,3,17,457,145,289,23,0
MAINE,Penobscot,4,0,0,1,3,283,84,181,18,0
MAINE,Sagadahoc,5,0,1,0,4,97,41,50,6,0
MAINE,York,23,0,4,5,14,265,78,180,7,0
MAINE,Aroostook,6,0,0,1,5,55,17,36,2,0
MAINE,Franklin,8,0,5,1,2,49,9,34,6,0
MAINE,Hancock,4,0,0,0,4,127,32,92,3,0
MAINE,Kennebec,24,0,5,1,18,159,41,103,15,0
MAINE,Knox,16,0,0,2,14,168,23,134,11,0
MAINE,Lincoln,26,0,16,2,8,189,33,147,9,0
MAINE,Oxford,28,0,15,2,11,279,73,186,20,0
MAINE,Piscataquis,3,0,1,0,2,53,14,35,4,0
MAINE,Somerset,31,3,14,1,13,366,95,247,24,1
MAINE,Waldo,13,0,4,1,8,157,39,113,5,0
MAINE,Washington,7,0,1,4,2,113,42,65,6,0
MARYLAND,Allegany,41,0,2,10,29,309,62,236,11,0
MARYLAND,Anne Arundel,2,0,0,0,2,0,0,0,0,0
MARYLAND,Anne Arundel County Police Department,"2,021",13,156,566,"1,286","10,813","1,593","8,598",622,0
MARYLAND,Baltimore County,0,0,0,0,0,0,0,0,0,0
MARYLAND,Baltimore County Police Department,"5,037",35,323,"1,533","3,146","23,155","3,114","18,023","2,018",206
MARYLAND,Carroll,126,0,38,7,81,774,149,592,33,0
MARYLAND,Cecil,59,2,5,17,35,485,155,297,33,3
MARYLAND,Charles,497,8,38,109,342,"2,352",365,"1,836",151,35
MARYLAND,Frederick,156,2,20,30,104,"1,328",215,"1,068",45,
MARYLAND,Harford,350,8,39,83,220,"1,974",358,"1,553",63,0
MARYLAND,Howard,0,0,0,0,0,0,0,0,0,0
MARYLAND,Howard County Police Department,769,5,70,202,492,"5,499",810,"4,336",353,
MARYLAND,Montgomery,0,0,0,0,0,0,0,0,0,0
MARYLAND,Montgomery County Police Department6,"1,394",13,230,613,538,"13,551","1,376","11,387",788,14
MARYLAND,Prince George's County Police Department,"2,031",54,97,854,"1,026","13,802","1,951","9,276","2,575",48
MARYLAND,Queen Anne's,38,1,3,3,31,453,104,338,11,1
MARYLAND,Washington,285,2,16,36,231,"1,346",312,946,88,0
MARYLAND,Wicomico,90,2,6,10,72,625,176,419,30,2
MARYLAND,Worcester,18,0,2,1,15,208,39,155,14,0
MARYLAND,Caroline,20,0,4,6,10,237,84,142,11,0
MARYLAND,Dorchester,15,0,0,6,9,215,49,138,28,0
MARYLAND,Garrett,41,0,2,1,38,297,94,194,9,0
MARYLAND,Kent,7,1,1,3,2,86,30,55,1,0
MARYLAND,Talbot,8,0,0,0,8,169,67,100,2,0
MICHIGAN,Barry,42,2,21,1,18,296,76,204,16,4
MICHIGAN,Bay,72,1,27,6,38,548,91,437,20,2
MICHIGAN,Berrien,137,1,31,12,93,569,140,391,38,2
MICHIGAN,Calhoun,115,1,35,6,73,491,109,359,23,4
MICHIGAN,Cass,52,3,31,4,14,295,126,145,24,5
MICHIGAN,Clinton,37,0,18,1,18,164,41,110,13,2
MICHIGAN,Eaton,118,1,45,22,50,"1,032",179,803,50,9
MICHIGAN,Genesee,66,1,10,2,53,276,53,211,12,2
MICHIGAN,Ingham,144,2,44,8,90,563,146,375,42,3
MICHIGAN,Jackson,205,0,30,12,163,631,120,472,39,5
MICHIGAN,Kalamazoo,255,3,51,44,157,"2,220",498,"1,541",181,11
MICHIGAN,Kent,364,4,116,38,206,"2,465",441,"1,913",111,19
MICHIGAN,Lapeer,60,0,21,0,39,277,70,190,17,1
MICHIGAN,Livingston,72,0,25,2,45,508,78,396,34,7
MICHIGAN,Macomb,323,2,70,27,224,"1,385",248,"1,022",115,4
MICHIGAN,Midland,51,0,12,0,39,296,65,220,11,2
MICHIGAN,Monroe,177,2,59,19,97,"1,478",363,"1,004",111,14
MICHIGAN,Montcalm,40,0,22,0,18,127,35,84,8,0
MICHIGAN,Muskegon,64,0,23,6,35,514,74,412,28,0
MICHIGAN,Oakland,25,0,10,1,14,39,3,29,7,3
MICHIGAN,Ottawa,533,2,215,26,290,"2,405",470,"1,840",95,10
MICHIGAN,Saginaw,85,0,18,11,56,468,77,372,19,1
MICHIGAN,St. Clair,222,0,30,10,182,855,228,574,53,8
MICHIGAN,Washtenaw,558,6,82,70,400,"1,643",273,"1,173",197,13
MICHIGAN,Wayne,1,0,0,0,1,1,0,0,1,0
MICHIGAN,Alcona,13,0,6,1,6,108,27,77,4,2
MICHIGAN,Alger,0,0,0,0,0,2,2,0,0,0
MICHIGAN,Allegan,92,0,28,3,61,572,138,399,35,7
MICHIGAN,Alpena,7,0,5,0,2,61,12,49,0,0
MICHIGAN,Antrim,20,0,10,0,10,147,35,108,4,1
MICHIGAN,Arenac,25,0,12,1,12,81,26,43,12,0
MICHIGAN,Baraga,2,0,1,0,1,14,6,7,1,0
MICHIGAN,Benzie,20,0,5,0,15,86,36,48,2,1
MICHIGAN,Branch,9,0,5,0,4,68,18,43,7,0
MICHIGAN,Charlevoix,20,0,14,0,6,94,16,73,5,0
MICHIGAN,Cheboygan,23,0,17,0,6,66,20,45,1,0
MICHIGAN,Clare,79,2,23,4,50,383,125,235,23,3
MICHIGAN,Crawford,8,0,6,0,2,87,32,51,4,1
MICHIGAN,Delta,5,0,0,0,5,58,9,47,2,0
MICHIGAN,Dickinson,2,0,1,0,1,0,0,0,0,0
MICHIGAN,Emmet,20,0,7,0,13,131,16,109,6,1
MICHIGAN,Gladwin,57,1,9,1,46,144,49,87,8,0
MICHIGAN,Gogebic,8,0,2,0,6,54,17,37,0,0
MICHIGAN,Grand Traverse,143,2,40,4,97,596,102,465,29,7
MICHIGAN,Gratiot,36,0,16,0,20,323,43,267,13,1
MICHIGAN,Hillsdale,33,0,21,0,12,170,46,114,10,0
MICHIGAN,Houghton,6,0,4,0,2,63,26,34,3,1
MICHIGAN,Huron,18,0,4,0,14,79,32,47,0,1
MICHIGAN,Ionia,77,0,31,1,45,293,80,191,22,4
MICHIGAN,Iosco,2,0,0,0,2,4,2,2,0,0
MICHIGAN,Iron,5,0,0,0,5,19,1,18,0,2
MICHIGAN,Isabella,64,0,28,1,35,317,97,206,14,4
MICHIGAN,Kalkaska,55,1,5,0,49,159,25,126,8,0
MICHIGAN,Keweenaw,1,0,0,0,1,9,0,9,0,0
MICHIGAN,Lake,33,0,9,2,22,207,78,120,9,1
MICHIGAN,Lenawee,45,1,16,4,24,223,61,149,13,2
MICHIGAN,Luce,14,0,3,1,10,73,26,39,8,0
MICHIGAN,Mackinac,5,0,3,0,2,75,18,54,3,1
MICHIGAN,Manistee,27,0,15,0,12,190,18,165,7,0
MICHIGAN,Marquette,15,0,4,1,10,158,19,132,7,0
MICHIGAN,Mason,36,0,11,1,24,159,36,116,7,0
MICHIGAN,Mecosta,195,2,9,1,183,350,56,285,9,2
MICHIGAN,Menominee,19,1,5,0,13,87,53,34,0,0
MICHIGAN,Missaukee,30,0,10,0,20,136,28,99,9,0
MICHIGAN,Montmorency,2,0,1,0,1,43,13,18,12,2
MICHIGAN,Newaygo,81,1,40,2,38,255,74,171,10,2
MICHIGAN,Oceana,28,0,4,1,23,229,49,174,6,2
MICHIGAN,Ogemaw,15,2,1,0,12,119,37,75,7,0
MICHIGAN,Ontonagon,22,0,0,0,22,25,13,12,0,0
MICHIGAN,Osceola,26,0,8,0,18,131,30,93,8,0
MICHIGAN,Oscoda,11,0,1,0,10,107,39,65,3,0
MICHIGAN,Otsego,20,0,11,0,9,58,13,43,2,1
MICHIGAN,Presque Isle,17,0,4,1,12,23,9,14,0,2
MICHIGAN,Roscommon,26,0,12,0,14,123,30,86,7,1
MICHIGAN,Sanilac,48,0,6,3,39,115,36,71,8,3
MICHIGAN,Shiawassee,16,1,3,0,12,138,31,100,7,0
MICHIGAN,St. Joseph,57,1,11,0,45,183,26,141,16,1
MICHIGAN,Tuscola,47,0,16,1,30,215,70,131,14,2
MICHIGAN,Wexford,43,0,16,0,27,215,60,145,10,1
MINNESOTA,Anoka,48,3,9,6,30,"1,021",118,833,70,4
MINNESOTA,Benton,14,0,11,0,3,178,33,118,27,2
MINNESOTA,Blue Earth,17,0,12,0,5,99,34,54,11,1
MINNESOTA,Carlton,17,0,6,1,10,204,41,141,22,0
MINNESOTA,Carver,34,0,8,3,23,583,91,462,30,6
MINNESOTA,Chisago,6,1,1,0,4,102,14,79,9,0
MINNESOTA,Clay,7,0,1,0,6,98,35,50,13,0
MINNESOTA,Dakota,27,0,3,1,23,136,37,93,6,0
MINNESOTA,Dodge,6,0,0,0,6,89,3,82,4,0
MINNESOTA,Fillmore,16,0,2,1,13,67,20,45,2,0
MINNESOTA,Hennepin,14,0,0,0,14,63,3,58,2,2
MINNESOTA,Houston,8,0,1,1,6,40,13,26,1,0
MINNESOTA,Isanti,17,0,9,0,8,294,70,182,42,0
MINNESOTA,Le Sueur,5,0,4,0,1,98,30,60,8,0
MINNESOTA,Mille Lacs,35,0,1,2,32,632,153,433,46,0
MINNESOTA,Nicollet,7,0,2,0,5,51,12,35,4,0
MINNESOTA,Olmsted,50,0,19,3,28,307,86,193,28,0
MINNESOTA,Ramsey,79,0,24,11,44,"1,258",180,974,104,3
MINNESOTA,Scott,6,0,1,0,5,7,1,3,3,0
MINNESOTA,Sherburne,27,0,6,3,18,452,62,362,28,0
MINNESOTA,Stearns,31,0,10,0,21,374,83,262,29,1
MINNESOTA,St. Louis,44,0,14,1,29,689,231,382,76,5
MINNESOTA,Wabasha,9,0,0,0,9,48,4,35,9,0
MINNESOTA,Washington,48,2,8,3,35,821,166,583,72,4
MINNESOTA,Wright,126,0,47,7,72,"1,483",163,"1,267",53,0
MINNESOTA,Aitkin,13,0,4,0,9,268,117,138,13,1
MINNESOTA,Becker6,26,0,9,0,17,212,81,111,20,3
MINNESOTA,Beltrami,46,0,10,7,29,371,105,228,38,1
MINNESOTA,Big Stone,2,0,1,0,1,32,5,24,3,0
MINNESOTA,Brown,0,0,0,0,0,18,1,15,2,0
MINNESOTA,Cass,44,0,28,1,15,333,133,154,46,1
MINNESOTA,Chippewa,2,0,1,0,1,24,10,14,0,0
MINNESOTA,Clearwater6,15,0,1,0,14,93,21,57,15,1
MINNESOTA,Cook,11,0,3,0,8,84,10,67,7,1
MINNESOTA,Cottonwood,4,0,1,0,3,40,8,32,0,0
MINNESOTA,Crow Wing,33,0,13,2,18,330,151,158,21,0
MINNESOTA,Douglas,21,0,3,0,18,181,54,111,16,0
MINNESOTA,Faribault,8,0,5,0,3,83,34,38,11,1
MINNESOTA,Freeborn6,12,0,1,1,10,118,37,68,13,2
MINNESOTA,Goodhue6,9,0,3,1,5,190,36,123,31,0
MINNESOTA,Grant,1,0,0,0,1,19,4,13,2,0
MINNESOTA,Hubbard,13,0,3,0,10,226,84,126,16,0
MINNESOTA,Itasca,29,0,10,0,19,162,37,117,8,2
MINNESOTA,Jackson,7,0,4,0,3,51,19,30,2,0
MINNESOTA,Kanabec,23,0,0,2,21,165,43,93,29,0
MINNESOTA,Kandiyohi,32,0,6,2,24,217,56,143,18,2
MINNESOTA,Kittson,0,0,0,0,0,5,0,5,0,0
MINNESOTA,Koochiching,4,0,0,0,4,73,16,50,7,0
MINNESOTA,Lac qui Parle,2,0,0,0,2,20,12,5,3,0
MINNESOTA,Lake,5,0,2,0,3,17,4,9,4,1
MINNESOTA,Lake of the Woods,1,0,0,0,1,5,0,4,1,1
MINNESOTA,Lincoln6,12,0,0,0,12,4,0,4,0,1
MINNESOTA,Lyon,5,0,1,0,4,46,18,24,4,1
MINNESOTA,Mahnomen6,11,2,1,0,8,159,37,95,27,1
MINNESOTA,Marshall,4,0,0,0,4,14,5,9,0,0
MINNESOTA,Martin,3,0,0,0,3,17,4,11,2,1
MINNESOTA,McLeod,11,0,6,1,4,83,30,50,3,0
MINNESOTA,Meeker,18,0,10,1,7,126,45,67,14,0
MINNESOTA,Morrison,6,0,2,0,4,193,28,138,27,0
MINNESOTA,Mower,9,0,6,1,2,83,31,41,11,2
MINNESOTA,Murray,1,0,1,0,0,41,4,34,3,1
MINNESOTA,Nobles6,3,0,3,0,0,34,14,17,3,1
MINNESOTA,Norman,0,0,0,0,0,3,1,2,0,0
MINNESOTA,Otter Tail6,21,0,7,1,13,333,110,195,28,2
MINNESOTA,Pennington,4,0,0,0,4,79,24,48,7,0
MINNESOTA,Pine,65,1,17,4,43,"1,086",198,795,93,4
MINNESOTA,Pipestone,1,0,0,0,1,70,16,54,0,0
MINNESOTA,Pope,3,0,0,0,3,34,15,15,4,0
MINNESOTA,Red Lake,0,0,0,0,0,16,5,11,0,0
MINNESOTA,Redwood,8,0,3,0,5,61,16,37,8,0
MINNESOTA,Renville,6,0,1,0,5,84,24,48,12,0
MINNESOTA,Rice,14,0,5,1,8,120,32,81,7,0
MINNESOTA,Rock,4,0,2,0,2,83,17,65,1,0
MINNESOTA,Roseau,7,0,1,0,6,69,11,46,12,0
MINNESOTA,Steele,10,0,3,0,7,65,27,32,6,0
MINNESOTA,Stevens,3,0,1,0,2,29,17,11,1,0
MINNESOTA,Swift,1,0,1,0,0,0,0,0,0,0
MINNESOTA,Todd,9,0,6,0,3,180,56,113,11,4
MINNESOTA,Traverse,2,0,0,1,1,24,6,16,2,0
MINNESOTA,Wadena,3,0,0,0,3,3,1,2,0,0
MINNESOTA,Waseca,6,0,2,0,4,59,23,34,2,0
MINNESOTA,Watonwan,2,0,1,0,1,45,21,22,2,0
MINNESOTA,Wilkin,4,0,1,1,2,40,11,26,3,0
MINNESOTA,Winona,11,0,4,0,7,72,16,43,13,0
MINNESOTA,Yellow Medicine,5,0,1,0,4,42,15,26,1,0
MISSISSIPPI,DeSoto,28,5,6,4,13,402,201,172,29,0
MISSISSIPPI,Hancock,32,2,0,5,25,581,115,408,58,1
MISSISSIPPI,Harrison,41,2,5,10,24,901,237,547,117,6
MISSISSIPPI,Hinds,83,2,5,11,65,389,155,175,59,0
MISSISSIPPI,Jackson,138,2,32,18,86,"1,642",427,"1,042",173,10
MISSISSIPPI,Lamar,70,0,7,0,63,712,238,464,10,0
MISSISSIPPI,Madison7,,4,,3,19,254,83,142,29,1
MISSISSIPPI,Marshall,0,0,0,0,0,140,2,121,17,2
MISSISSIPPI,Rankin,48,2,5,7,34,457,97,341,19,5
MISSISSIPPI,Tunica7,,4,,14,25,420,61,320,39,1
MISSISSIPPI,Choctaw7,,0,,0,8,58,29,27,2,0
MISSISSIPPI,Claiborne,21,0,2,2,17,101,63,24,14,0
MISSISSIPPI,Grenada7,,1,,0,25,133,36,84,13,1
MISSISSIPPI,Kemper7,,0,,1,6,38,25,11,2,0
MISSISSIPPI,Lauderdale,45,5,8,8,24,495,277,191,27,15
MISSISSIPPI,Lincoln,14,1,0,2,11,248,92,131,25,1
MISSISSIPPI,Oktibbeha7,,0,,7,33,585,415,145,25,1
MISSISSIPPI,Panola7,,3,,8,98,825,424,380,21,2
MISSISSIPPI,Scott,25,3,0,2,20,205,85,89,31,7
MISSISSIPPI,Stone,37,0,7,2,28,211,82,97,32,2
MISSISSIPPI,Warren,12,2,2,3,5,275,76,171,28,1
MISSISSIPPI,Washington,23,3,1,2,17,389,108,236,45,0
MISSOURI,Andrew,13,0,0,0,13,82,34,39,9,1
MISSOURI,Bates,36,0,2,1,33,112,47,61,4,0
MISSOURI,Bollinger,17,0,5,1,11,82,31,51,0,2
MISSOURI,Boone,101,0,11,9,81,698,114,507,77,8
MISSOURI,Buchanan,26,0,1,5,20,256,64,159,33,9
MISSOURI,Caldwell,24,0,3,0,21,76,22,43,11,1
MISSOURI,Callaway,129,0,32,5,92,431,138,257,36,1
MISSOURI,Cape Girardeau,38,0,3,3,32,213,64,136,13,0
MISSOURI,Cass,54,0,3,3,48,345,107,193,45,0
MISSOURI,Christian,53,0,8,0,45,293,77,199,17,0
MISSOURI,Clay,42,0,5,4,33,236,68,142,26,0
MISSOURI,Clinton,18,1,4,2,11,95,38,44,13,0
MISSOURI,Cole,70,1,0,0,69,233,44,165,24,2
MISSOURI,Dallas,6,1,0,0,5,58,11,45,2,0
MISSOURI,DeKalb,7,0,0,1,6,34,10,19,5,0
MISSOURI,Franklin,79,1,5,0,73,591,220,320,51,2
MISSOURI,Greene,47,3,22,11,11,"1,303",360,775,168,8
MISSOURI,Jackson6,61,1,9,1,50,367,109,194,64,10
MISSOURI,Jasper,139,1,11,8,119,543,143,331,69,0
MISSOURI,Jefferson,380,6,15,15,344,"2,380",484,"1,538",358,8
MISSOURI,Lafayette,10,0,1,0,9,181,41,123,17,2
MISSOURI,Lincoln,89,0,13,3,73,153,39,113,1,3
MISSOURI,McDonald,80,1,9,0,70,298,56,239,3,0
MISSOURI,Moniteau,2,1,0,0,1,31,14,13,4,0
MISSOURI,Newton,111,1,14,2,94,668,129,470,69,5
MISSOURI,Osage,2,0,0,0,2,75,25,40,10,0
MISSOURI,Platte,44,0,14,4,26,277,51,189,37,0
MISSOURI,Polk,43,0,8,2,33,282,106,143,33,2
MISSOURI,Ray,76,0,0,0,76,116,34,67,15,1
MISSOURI,St. Charles,0,0,0,0,0,1,0,1,0,0
MISSOURI,St. Charles County Police Department,95,3,11,15,66,844,174,588,82,3
MISSOURI,St. Louis County Police Department,"1,917",32,158,401,"1,326","7,973","1,502","5,671",800,55
MISSOURI,Warren,77,1,12,2,62,182,53,114,15,1
MISSOURI,Webster,9,1,3,1,4,232,65,136,31,0
MISSOURI,Adair,10,0,0,0,10,87,22,61,4,1
MISSOURI,Atchison,5,0,0,0,5,10,0,8,2,0
MISSOURI,Audrain,17,2,0,1,14,112,57,47,8,0
MISSOURI,Barry,38,1,2,3,32,398,146,194,58,1
MISSOURI,Barton,26,0,0,1,25,82,34,41,7,3
MISSOURI,Benton,44,1,1,0,42,149,63,70,16,2
MISSOURI,Butler,98,1,1,2,94,499,134,327,38,0
MISSOURI,Camden,124,0,24,3,97,448,197,231,20,0
MISSOURI,Carroll,5,0,4,0,1,42,17,22,3,0
MISSOURI,Carter,27,0,6,0,21,73,32,33,8,0
MISSOURI,Cedar,29,0,5,0,24,71,22,48,1,1
MISSOURI,Clark,24,0,0,0,24,34,7,25,2,0
MISSOURI,Cooper,5,0,0,3,2,74,18,44,12,0
MISSOURI,Crawford,23,3,2,0,18,176,45,105,26,0
MISSOURI,Dade,29,0,3,1,25,74,37,34,3,0
MISSOURI,Daviess,6,0,0,1,5,44,22,17,5,0
MISSOURI,Dent,4,0,1,0,3,77,35,34,8,0
MISSOURI,Douglas,20,2,2,0,16,36,17,14,5,0
MISSOURI,Dunklin,12,0,0,0,12,135,30,86,19,2
MISSOURI,Gasconade,20,0,0,0,20,99,38,49,12,0
MISSOURI,Gentry,1,0,0,0,1,48,11,25,12,0
MISSOURI,Grundy,0,0,0,0,0,23,13,10,0,0
MISSOURI,Harrison,5,0,0,0,5,33,19,9,5,0
MISSOURI,Henry,74,0,7,1,66,196,88,106,2,2
MISSOURI,Hickory,3,0,0,0,3,126,46,71,9,0
MISSOURI,Holt,6,0,0,0,6,35,15,15,5,0
MISSOURI,Howard,10,0,1,0,9,77,18,55,4,0
MISSOURI,Howell,68,1,4,1,62,323,99,177,47,0
MISSOURI,Iron,4,1,0,0,3,32,12,15,5,0
MISSOURI,Johnson,18,1,6,2,9,245,79,138,28,0
MISSOURI,Knox,1,0,0,0,1,13,2,9,2,0
MISSOURI,Laclede,27,0,2,3,22,275,94,147,34,3
MISSOURI,Lawrence,15,1,0,3,11,200,91,92,17,2
MISSOURI,Lewis,1,1,0,0,0,51,11,36,4,0
MISSOURI,Linn,5,0,0,0,5,41,16,21,4,0
MISSOURI,Livingston,1,0,0,0,1,36,8,22,6,0
MISSOURI,Macon,12,0,2,0,10,92,38,53,1,0
MISSOURI,Madison,11,0,1,1,9,61,18,38,5,1
MISSOURI,Maries,12,2,0,0,10,53,22,21,10,1
MISSOURI,Marion,8,0,0,0,8,157,13,140,4,0
MISSOURI,Mercer,3,0,0,0,3,12,4,5,3,1
MISSOURI,Miller,28,0,0,0,28,198,82,108,8,0
MISSOURI,Mississippi,7,1,2,0,4,39,20,15,4,0
MISSOURI,Monroe,28,0,16,0,12,45,24,15,6,0
MISSOURI,Montgomery,1,0,0,0,1,65,28,37,0,0
MISSOURI,Morgan,45,0,11,1,33,131,60,64,7,1
MISSOURI,Nodaway,3,0,0,0,3,64,18,38,8,1
MISSOURI,Oregon,33,1,4,0,28,84,27,43,14,0
